,Text,Emotion
788,She was feeling hurt and a little bewildered . ,surprise
789,"The children , at least the younger ones , become bewildered and distraught . ",surprise
790,"A bewildered and shocked survivor can be guided through red tape , and practical alternatives can be found , as in the case of Liz and Tom who were burgled while on Income Support . ",surprise
791,"Depressed and bewildered because it had inexplicably impaired his ability to think and concentrate , he soon guessed that his paralysis and clumsiness would make him always dependent on a wheelchair . ",surprise
792,"What had once been a largely invisible world of mental hospitals , private suffering , and professional services now appears in local communities as homelessness , strange persons in public , and bewilderment about who is responsible for whom . ",surprise
793,She squinted in bewilderment at the ten or so boarders who had formed her little band of helpers . ,surprise
794," No ,  I said , trying to sound convincing but daunted by the simple bewilderment in his face . ",surprise
795,"` Carpenter ? "" her father asked with a tinge of bewilderment in his voice . ",surprise
796,She did n't want to trouble the penguin with the bewilderment in her eyes . ,surprise
797,"The old hands at machine knitting glibly talk about ` two-thirties "" to the bewilderment of the newcomers at the knitting club . ",surprise
798,The bewilderment of the child Nizan can not be overstated . ,surprise
799,"Scott ran a hand through his hair , bewilderment on his face . ",surprise
800,"Downstairs in the lobbies , Tories were running around in equal bewilderment over the Speakership . ",surprise
801,To her bewilderment they both dissolved into giggles . ,surprise
802,"She saw his fear , his bewilderment , and above all , a kind of astonishment at the enormity of the complications that lay ahead . ",surprise
803,"The other side of the story is the pain felt by women when their children suffer , and their bewilderment when that suffering is self-inflicted . ",surprise
804,"His voice was as sensual as raw silk , but when he saw her bewilderment his eyes drifted over to Mandy 's table . ",surprise
805,"Gloria stared , her mouth agape , then turned to Ruth in bewilderment . ",surprise
806,"She got up and checked the wardrobes , and her bemusement became sheer bewilderment . ",surprise
807,A frown of exasperation lined her brow as she shook her dark head in bewilderment . ,surprise
808,"Sonny turned in bewilderment to Johnny , then lumbered out after his brother . ",surprise
809,"To those workers who profess bewilderment as to how they might help , who feel their knowledge in sexual matters is insufficient or are doubtful of their capabilities for sexual counselling and aid , one would suggest that they raise the matter within their training departments . ",surprise
810,"The rest simply stood in a state of considerable bewilderment , trying to ensure that they had not only accurately recorded but also understood what Woolton had said . ",surprise
811,Shiona frowned at the phone in total bewilderment . ,surprise
812,"Most will privately confess to an initial sense of utter bewilderment , but necessity will drive them to adapt to their new way of life . ",surprise
813,"Her lovely face reflecting her complete and utter bewilderment , she queried slowly , ` Why on earth would I want to claim kinship ? "" ",surprise
814,Constance looked at him in bewilderment . ,surprise
815,Mr Stokill must have noticed my look of bewilderment . ,surprise
816,He paused as his mother stared at him in bewilderment . ,surprise
817,"She seemed flabbergasted , but rallied and asked me if I would look in at the Gray Mare in Kilburn and say ` hello "" to her son Joe Kelly who worked there . ",surprise
818,I tell you I was flabbergasted and right terrified out of my wits . ,surprise
819,"Charles was absolutely flabbergasted , but he had n't really got time to analyse his reactions . ",surprise
820,` At first I was too flabbergasted to do anything . ,surprise
821,"Utterly flabbergasted , Leith began to realise that he was accusing her of announcing their ` engagement "" to all and sundry . ",surprise
822,Rachel had been nonplussed . ,surprise
823,She was totally nonplussed . ,surprise
824,"Mait was momentarily nonplussed , but soon recovered , as he mentally ran through the possible effects of this on his plan . ",surprise
825,"It is also worth speculating on the fate of what must have been a nonplussed Christopher Chryselius , Sir John Pennington must have been thoroughly annoyed at the outcome , too . ",surprise
826,He looked quite nonplussed . ,surprise
827,"Usually so mentally attuned , so aware of what she was thinking and feeling , he looked angry and nonplussed , unable to understand her withdrawal . ",surprise
828,"Ethel shook her head in puzzlement , but a gleam had been coming into Eames 's eyes . ",surprise
829,Emily could see his puzzlement . ,surprise
830,"Quick -- sign the register , get out , escape from the puzzlement in her eyes . ",surprise
831,I pointed out that I kissed Frankie but she dismissed my puzzlement . ,surprise
832,"Claudia , frowning , turned to gaze at him in total puzzlement . ",surprise
833,Had witnessed her puzzlement and then her shocked surprise as she realised what it was . ,surprise
834,Paul 's tone and expression showed his puzzlement . ,surprise
835,He could see Harry 's puzzlement . ,surprise
836,And now she could see the puzzlement on everyone 's face . ,surprise
837,He saw her glance up in puzzlement and ask why he was still fully dressed . ,surprise
838,"Pitching my voice to a tone of mild puzzlement , I called , ` What 's a rattlesnake doing up here ? "" ",surprise
839,Her brow creased in puzzlement . ,surprise
840,"` Can it really work ? "" enquired his startled colleague . ",surprise
841,"Gus said : ` Of course ! "" in a slightly startled voice , and visibly withdrew his vision and his thoughts from some distant preoccupation in which she had no part . ",surprise
842,They burst in on the somewhat startled signalman who was puzzled by the dramatic appearance of the two familiar faces . ,surprise
843,The man turned round and looked at Robyn with startled eyes . ,surprise
844,Their heads were close together and as he appeared they all looked up in unison with startled faces and fell silent . ,surprise
845,His eyes were so far out of his head that he looked like a startled grasshopper . ,surprise
846,"She looked startled when I snapped at her : ` What have they worked out ? "" ",surprise
847,The girl looked startled . ,surprise
848,Maurice seemed startled . ,surprise
849,Jinny was so startled that she nearly kicked the bucket over . ,surprise
850,Corbett stopped his horse and turned to the startled Ranulf . ,surprise
851,She gave him a startled glance . ,surprise
852,"And having made the mistake a bird seldom gets a second chance , for the startled butterfly takes off , not in the direction the bird might have expected but , apparently , backwards . ",surprise
853,He laughed at Claudia 's startled expression . ,surprise
854,"No less a person than Gloria Estefan rang my startled publisher before leaving London , to order the Ology book , because she was crazy for the commercials . ",surprise
855,"Ana started to laugh and Mitch gave her a startled glance and then laughed ruefully too , giving her a hug . ",surprise
856,Then his startled gaze met the glowing eyes above the white patch of the handkerchief the man was holding at his mouth . ,surprise
857,"` About what , dear ? "" she asked in a startled voice . ",surprise
858,"Before she could utter the cry of alarm which rose in her throat his hand had closed over her mouth , and Paige 's startled eyes blinked at him over the top . ",surprise
859,"Lucy felt startled , but forced herself to remain calm . ",surprise
860,"Herman , startled but pleased , moved in , only to be disconcerted as Erika pushed him away . ",surprise
861,Israel and I pushed by the startled and helpless usher and swaggered into the arena dressed in our Mau Mau uniforms . ,surprise
862,"The man stared at her in stunned silence , his chest rising and falling with some kind of agitation . ",surprise
863,The Germans still seemed stunned . ,surprise
864,The man seemed stunned . ,surprise
865,"With a last , quizzical look at her slightly stunned expression , he waited for Mike to join him , then both men walked out of the suite , leaving her alone with Ace . ",surprise
866,"Then Isabel saw Ellen 's stunned face and realised that her maid , at least , did not know she had spent the night alone . ",surprise
867,"For a moment there was a stunned silence from his workmates and then pent-up breath was released in what seemed like a communal sigh , before the chief waggoner yelled , ` Come on ! ",surprise
868,"Anne watched her for a few moments in stunned silence , trying to decide if she meant what she had said . ",surprise
870,"A stunned Mrs Hanley said as she left court : ` We never wanted anybody to go to prison over this . "" ",surprise
871,"The Odones were left stunned when they were told in 1984 at the Children 's Hospital in Washington DC that their fun-loving , brilliant six-year-old son -- he already spoke three languages -- had ALD , and was under sentence of death . ",surprise
872,"In front of stunned mourners he told grieving widow Linsay Robinson to ` pay up or else "" . ",surprise
873,"In her ` Daughter of Evil "" ( McShane , 1980 ) she stresses her own lifelong affection for her mother and her stunned reaction at being convicted and sentenced . ",surprise
874,"First of all the crowd was stunned , and then they erupted , giving Allan a marvellous reception on his lap of honour But the night was yet young . ",surprise
875,"The next thing he knew he was lying on the floor , half stunned , beans everywhere . ",surprise
876,"When anything important happens you 're stunned , and thrown out for a while , and then you recover ",surprise
877,"She looked stunned , almost like a sleepwalker . ",surprise
879,` Tears of rage and despair have been shed by SNP workers and our voters are stunned . ,surprise
880,"Shadow ministers , who had been behaving as if they were about to move into Whitehall , looked stunned and shattered . ",surprise
881,Most Germans looked on stunned as the results from the two state elections on 5 April flashed across their television screens . ,surprise
882,"Julia , stunned but dry-eyed , had given her statement to the police . ",surprise
883,He was a bit stunned and rushed home to raise the alarm . ,surprise
884,"She took two or three large breaths over the top of her bag of groceries , while Mrs Stych watched her stupefaction with complacency . ",surprise
885,I can understand the apparent stupefaction of all parties . ,surprise
886,"Taking advantage of Guy 's momentary stupefaction , she wriggled out from under him and leapt off the bed , everything forgotten but the need to escape from something she dared not put a name to . ",surprise
887,Another step forward and Pooley noted to his utter stupefaction that it had vanished altogether into empty air . ,surprise
888,Downes shook his head in stupefaction . ,surprise
889,"Athelstan sat in complete stupefaction , drinking his beer , as Cranston cleared every platter , washing it all down with another bowl of claret . ",surprise
890,"Except the O'Neil family in the first row of the circle , who sat in stupefied amazement , hardly believing what they had witnessed . ",surprise
891,"If the birds are disturbed during the process , there could be large numbers of stupefied birds fluttering amongst the traffic as the morning progresses with public complaints resulting , "" the report stated . ",surprise
892,It was Blackberry who bullied the stupefied Pipkin to his feet and forced him to limp the few yards to the gravel spit . ,surprise
893,"He woke stupefied , flicking his tongue over his parched lips like a reptile . ",surprise
894,Laura stared up at Ross in stupefied amazement . ,surprise
895,"The pain had faded into the background and she was starting to feel stupefied , her head stuffed with cotton wool , her eyes heavy . ",surprise
