,Text,Emotion
1051,"In icy tones , the offended bureaucrat replied : ` For future reference , you will call me Mr Hooton , not Richard . "" ",anger
1052,"The offended Titan lumbered forward and stamped upon one Raider , crushing it underfoot . ",anger
1053,The Doctor looked offended . ,anger
1054,"Not everybody wants   and trailed into silence , for Lily 's eyelids were now fluttering , holding back offended tears . ",anger
1055,"I do n't care if you 're offended , that 's the truth . "" ",anger
1056,"Albert was offended , and swung his legs athletically out of bed , wincing on the distant side of his face . ",anger
1057,"His marriage to Osthryth , the sister of King Ecgfrith , inhibited him from bestowing royal favour on Wilfrid until Archbishop Theodore engineered a reconciliation of offended parties in 686 . ",anger
1058,The law said nothing about duels between species which were not considered to be human -- although that did not prevent an offended party from seeking recourse . ,anger
1059,I laughed -- I did n't feel offended . ,anger
1060,"The elite were offended , but the common people loved it . ",anger
1061,"He did n't seem offended , he did n't exactly appear contrite . ",anger
1062,He looks offended when I tell him he is perceived as a man 's man . ,anger
1063," A little offended , Bagshot put the key in the lock and opened the door . ",anger
1064,He looked offended but I guessed his idea of discretion was swapping his length of lead pipe for a rubber truncheon . ,anger
1065,"My hands dart indignantly about my desk as if they were offended mice , opening files , annotating minutes , picking up the receiver . ",anger
1066,"That may not , however , be enough for the offended partner . ",anger
1067,"The more resentful and unforgiving Willie Morgan , was taken to court and then had to terminate a lucrative six year contract after only nine months . ",anger
1068,"` No , "" she replied briefly , feeling more and more resentful . ",anger
1069,"When he took his hand away still saying nothing , she felt slightly hurt and resentful . ",anger
1070,"Rock became aware that the thrilling , magical father , who had taken his young son backstage , on the road , drinking , water-skiiing , was gradually becoming a resentful tyrant . ",anger
1071,"On a recent visit to a day centre , which served both younger disabled and old people , I was told that old people were envious and resentful when computer learning was introduced for the younger disabled people . ",anger
1072,"Residential workers are faced with youngsters who are not only anxious and resentful about family events , but may also be mistrustful of those who try to help them . ",anger
1073,Carlie and Harvey feel bitter and resentful about the way they 've been treated . ,anger
1074,"I coped at the time but now , five years on , I feel guilty and resentful about the whole affair . ",anger
1075,"In a low , resentful voice , Cullam said , ` I was sick . ",anger
1076,"I told Dana I could no longer bear the atmosphere of the city , the right-wing bullies , the Falangists , the deadening work of teaching mostly bored and resentful students . ",anger
1077,He felt their resentful eyes burning the nape of his neck . ,anger
1078,Michelle did not raise her head from Tess 's shoulder and the resentful words were muffled . ,anger
1079,Lucy sent him a resentful glance while adding an explanation for her presence . ,anger
1080,I said I thought Surkov felt resentful because the novels had n't made more money . ,anger
1081,"I have grown up to be distrustful of men , doubtful of my own goodness , extremely resentful and explosively angry . ",anger
1082,"She looked a little less resentful than earlier , and -- dare he hope it ? -- even slightly anxious for him . ",anger
1083,She felt rather riled . ,anger
1084,"At once regretting that she had let herself become riled , she delved into her bag and came out with a bar of soap . ",anger
1085,"Two could play the same game , and the Russian was now riled . ",anger
1086,She 's really riled now . ,anger
1087,And found to his annoyance that he was grinding his teeth . ,anger
1088,"It joined me for the rest of the holiday , much to the annoyance of my fellow passengers . ",anger
1089,"Busking or playing musical instruments in the Underground , to the annoyance of other passengers , is an offence ",anger
1090,"It was after noon by the time we actually got sorted , much to the annoyance of the lady from the Public Relations company who had hired us . ",anger
1091,"He shows his annoyance with some intimidating facial expression , backed up by a sparse selection of adjectival punctuation invariably using the ` f "" word , which he uses with considerable effect . ",anger
1092,To her annoyance a warm blush was steadily creeping into her cheeks . ,anger
1093,"` I am practical , "" Jessamy insisted with some annoyance . ",anger
1094,"Laura 's normally full , warm lips tightened with annoyance . ",anger
1095,Liz suppressed her annoyance before it could take hold . ,anger
1096,She stopped as she saw the look of annoyance on his face . ,anger
1097,Faint annoyance began to show on Major Tzann 's face . ,anger
1098,"She turned to Fran , faint annoyance crossing her face . ",anger
1099,"Robyn leant against the door to the office and found herself experiencing the old , familiar surge of deep annoyance . ",anger
1100,To my great annoyance I found myself jealous . ,anger
1101,"To Erika 's intense annoyance , Fritz promptly accepted the invitation -- obeyed the command , rather -- and as Rosa moved on to the floor with another boy , she was left feeling abandoned -- and foolish . ",anger
1102,"Who can honestly say that they have never been consumed by that intense annoyance , never felt that burning but wrenching tension and anger at life 's petty frustrations . ",anger
1103,"This causes considerable annoyance to the Germans , who find themselves being forced to speak English and say that they will settle the matter ` by decree "" . ",anger
1105,"It was , I thought , a measure of her self-control that she had waited until now to express her annoyance . ",anger
1106,"His eyes narrowed , and she felt a flicker of annoyance , this time aimed at herself . ",anger
1107,Dotty flushed with annoyance . ,anger
1108,Wheeler 's fine face flushed with annoyance and he laughed . ,anger
1109,"After a day or two , the owner became irked , and went to the airport to inspect his plane . ",anger
1110,She was absolutely livid . ,anger
1111,` He was livid . ,anger
1112,"Kisling was livid , and with the help of some friends managed to grab the sculptor and throw him down the stairwell from the seventh floor . ",anger
1113,"He turned a livid , stubbled face to the crowd . ",anger
1114,"His face was livid , and his hand had clapped to his sword . ",anger
1115,Tabitha Campbell-Black was livid because she won a bag of Bailey 's Performance Mix horse feed rather than a T-shirt with a picture of a polo pony on the front . ,anger
1116,Mansell was livid and admitted he ran away from the scene of the accident to avoid being tempted into big trouble . ,anger
1117,City fans are still livid over the clash with Bull that led to skipper Steve Walsh 's sending off in the 3-0 defeat at Molineux three weeks ago . ,anger
1118,"LIVID Mia Farrow beat her adopted daughter Soon-Yi with a chair after finding out about her affair with Woody Allen , it was claimed yesterday . ",anger
1119,His face was livid and bloody . ,anger
1120,"` He 's livid about Opal . "" ",anger
1121,"And then of course , silly girl , she went and told him -- he was so livid he would n't have nothing more to do with her . "" ",anger
1122,"He was on his feet , the chair toppling over behind him , his face livid , his knuckles white-ridged and aimed at her . ",anger
1123,Sly was left feeling absolutely livid . ,anger
1124,"Benedict was on his feet , overturning his chair in one violent gesture , a face of livid fury turned on Theda . ",anger
1125,He dipped the cotton wool in the water and dabbed at the livid puffy eyes . ,anger
1126,Wayne will be livid when he hears . ,anger
1127,"` You could have lent it to me , "" Paula said , peeved . ",anger
1128,"He sifted , somewhat peeved , through the remaining unopened mail . ",anger
1129,"His smile was patient , peeved , and very sad . ",anger
1130,Of course Ed was really peeved about how Martinez handled the whole Harley business . ,anger
1131,I 'm not surprised he 's feeling peeved . ,anger
1133,"They played throughout the second half in peeved mood , allowing Blackburn to assume the dictating role with Gordon Cowans prompting from midfield and Speedie in predatory form up front . ",anger
1134,It was a revelation after the pain of trotting and Nails was cross when Nutty brought it to an end . ,anger
1135,It is not uncommon to hear of old women who are cross when asked to perform domestic tasks in residential care ! ,anger
1136,Sue gets cross about that . ,anger
1137,"Agnes noted with alarm that a pink flush was suffusing Dorothy 's face , a sure sign of temper , and really , thought her loyal assistant , she had every right to be cross under the circumstances . ",anger
1138, Do n't be cross !  ,anger
1139,"He 'll be cross , but I 'll go . ",anger
1140,There was really no reason why Star should be cross . ,anger
1141,"When they got to the florist and Georg saw his father emerging he really was cross , so cross he leapt out from the driver 's seat and intercepted Willi on the pavement . ",anger
1142,My husband still feels very cross . ,anger
1143,Her mother would be cross and he would feel stupid . ,anger
1144,` You 're cross because I was honest when I spoke to you that night . ,anger
1145,Alexandra grew even crosser as it became obvious that Matthew had been invited in his own right . ,anger
1146,Erika stamped her foot in vexation . ,anger
1147,Frau Nordern bit her lip in vexation . ,anger
1148,"To Meryl 's vexation , the boundary wall proved to be nearly eight feet high . ",anger
1149,Sister Cecilia was flushed with vexation . ,anger
1151,"No , she 's not vexed . ",anger
1152,"` I am vexed , John . ",anger
1153,But Christine felt vexed when at the next Pack Meeting Sarah lost points for the Six through being a slowcoach . ,anger
1154,A vexed expression crossed Louise 's pretty face . ,anger
1155,"Unable to help herself , Mrs Abigail made a vexed noise . ",anger
1156,"Lissa gazed up at him , at his vexed expression , and tried to quell the smile that pulled at her lips . ",anger
1157,I 'm getting vexed . ,anger
1158," You 're not  vexed , are you ?  he asked incredulously . ",anger
1159,"Why ever did he bother to write them out ? the landlady asked , gravely vexed and insulted . ",anger
1160,Court sounded almost indignant . ,anger
1161,She did n't look quite so indignant as she 'd looked before . ,anger
1162,"Shackel became indignant and said he would fetch a magistrate and complain about the Chief Constable 's attitude , which he did . ",anger
1163,"Scientists , on both sides of no-man 's land , become bitterly indignant when someone points such external influences out to them . ",anger
1164,"His tone became more confident , slightly indignant . ",anger
1165,"` I mean , look at this one , "" said the interviewer , becoming quite indignant and picking one of the schools ' letters contemptuously from the pile . ",anger
1166,I was extremely indignant . ,anger
1167,The RUC men who had conducted the police investigations were fiercely indignant and a senior officer threatened to resign . ,anger
1168,"Topaz was indignant , some of her fear dissipating . ",anger
1169,"But I do n't want an indignant boyfriend on my doorstep breathing fire . "" ",anger
1170,"And Victoria now pulled her granddaughter past the indignant old lady , whose face was expressing shock . ",anger
1171,"` What did you mean , Rachel ? "" her mother asked slowly , ignoring her husband 's indignant look . ",anger
1172,"IN East Germany two men , formerly regarded as untouchable pillars of the old regime , have , rightly or wrongly , become the focus of over-zealous and sometimes bizarre persecution by the legal authorities and an indignant public . ",anger
1173,"Indignant over suggestions that the Prime Minister has replaced his Jaguar with a Rover , Nigel Lawson can at least draw comfort from the fact that he is a wanted man in the City . ",anger
1174,"` Good heavens , no , lady "" came the indignant reply . ",anger
1175,"Bellybutton said in an indignant voice , as though my question had impugned McIllvanney 's honour . ",anger
1176,"She picked up a pen and drew a line through the service charge , then handed the bill to the indignant guest . ",anger
1177,"Lucien made a small , indignant sound , his arms flailing before he recovered his poise . ",anger
1178,Auguste shot him an indignant glance . ,anger
1179,"She was irritated , indignant . ",anger
1180,"` Oh ! "" she bleated , her voice high and rather indignant . ",anger
1181,"` Nevil does n't work for me , "" he snapped , truly indignant . ",anger
1182,"After the verdict on Monday , an indignant Cannes president Alain Pedretti described it as ` scandalous "" . ",anger
1183,"` You do these ? "" he asked an indignant Auguste . ",anger
1184,"He watched , felt indignant but also justified because he was right . ",anger
1185,"BLACKEYES ended , trailing an ever thinner line of puzzled viewers , exasperated critics , and the nagging question , what went wrong ? ",anger
1186,"` It 's absolute nonsense , "" wails an exasperated spokesman . ",anger
1187,"Untidy work led to rows , rows led to confrontation , confrontation led to the boy being soundly thrashed by his exasperated mother . ",anger
1188,The Government resolutely refused to comment until in January 1978 we suddenly heard that an exasperated Lord Rosebery had broken off the sale and given Sotheby 's the go-ahead to auction the contents in May . ,anger
1189,Doctor McCann turned an exasperated face away and addressed himself to Peg . ,anger
1190,She began to feel exasperated . ,anger
1191,They were exasperated and mystified . ,anger
1193,An exasperated Galileo was able to show up the inadequacy of his rival 's position in a characteristically witty way . ,anger
1194,"He seemed exasperated , though well in control . ",anger
1195,No wonder Superintendent Miller had become exasperated . ,anger
1196,"Charlotte made to reply , but suddenly felt exasperated and wearied by the hoops she had been obliged to jump through . ",anger
1197,Lili was getting exasperated . ,anger
1198,"He shook his head , exasperated and cynical . ",anger
1199,"As they passed her table , she heard the older woman counting one-two-three , one-two-three like a jolly and exasperated gym teacher . ",anger
1200,"The fellow , sighing dramatically , rose wearily from his chair like an exasperated parent dealing with two naughty children . ",anger
1201,"Blake looked at the exasperated face of the Doctor , '  but this computer can predict what I 'm going to do . ",anger
1202,"They left behind them broken glass , tyremarks on the road and another exasperated shop owner . ",anger
1203,The sheriff had said the most likely explanation was that the father had become exasperated . ,anger
1204,"He was exasperated , but not cast down . ",anger
1205,There was a trace of exasperation in his voice as he said : ` I 've told my promoter Dan Duva that I want to fight all those contenders that the people want me to fight . ,anger
1206,"Plummer wanted to know , a note of exasperation in his voice . ",anger
1207,There was a hint of exasperation in his voice . ,anger
1208,"Shaw , however , worked off most of his exasperation over the weekend winning the Durham and Cleveland County veterans ' over 50 title . ",anger
1209,And then again perhaps Modigliani 's exasperation stemmed in part from envy of this brilliant young man . ,anger
1210,One career wife spoke about her exasperation when her husband listened to her with half an ear as he watched television . ,anger
1211,You may find your exasperation turns to inspiration ,anger
1212,"Now it was the Young King who drew back and , doubtless to their father 's immense exasperation , refused to accept Richard 's homage . ",anger
1213,She sounded very disappointed and David knew she was suppressing her exasperation . ,anger
1214,Robbie 's exasperation found vent . ,anger
1215,Frau Nordern allowed herself a note of exasperation . ,anger
1216," At least if there 's a human being there you can talk about the deal ,  says Legal & General 's Michael Payne with just a trace of exasperation . ",anger
1217,She shot him a look of exasperation . ,anger
1218,"Your eyesight 's not good enough , "" Miss Dersingham said with exasperation . ",anger
1219,"He was coming so fast that she knew he had not seen her and she had to brake sharply , frowning with exasperation . ",anger
1220,"` I do n't seem to be getting anywhere with this damn machine , "" he said with exasperation . ",anger
1221,There was something in the journalist 's manner that goaded Blanche 's exasperation into anger . ,anger
1222,There was a hint of exasperation in his voice . ,anger
1223,"She was single-minded and uncompromising in her work , so that she sometimes provoked exasperation among her colleagues , a feeling immediately tempered by the admiration they felt . ",anger
1224,"All through his life , though Ken could be austere and stubborn to a point which provoked exasperation , his evident holiness was so blended with cheerfulness that he seldom lost the admiration and affection of his contemporaries . ",anger
1225,He looked at her with exasperation when she just gazed at him with wide deep blue eyes . ,anger
1226,Tzann clucked his tongue with mild exasperation . ,anger
1227,He felt a wave of exasperation rise within him . ,anger
1228,"With a grunt of exasperation , Henry leapt across the room and into the yard , crossing the space between kitchen and dining room until he reached the stables . ",anger
1229,He gave a little grunt of exasperation . ,anger
1230,"How often do parents say in exasperation , ` Oh , you 'll be the death of me "" ? ",anger
1231,"` Damn ! "" she muttered in exasperation . ",anger
1232,Irina hung up in exasperation . ,anger
1233,"She was acting like some idiotic schoolgirl , not an intelligent woman , she thought in exasperation . ",anger
1234,Jean-Paul gave a sigh of exasperation . ,anger
1235,Parkin sighed with exasperation . ,anger
1236,With a small sigh of exasperation she thrust her feet to the floor . ,anger
